Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-05-08,Lunch,542.9,14.6,5.2,2.7,3.8,0.0,52.5,1802.1,490.5,84.8,3.0,47.1,21.8,99.9,11.0,5.7,24.6
2015-05-08,Breakfast,181.2,11.5,7.0,0.0,3.0,0.0,41.2,14.7,146.4,15.6,0.0,12.6,0.9,34.0,0.0,0.5,0.1
2015-05-08,Snacks,189.6,3.1,0.0,0.0,0.0,0.0,255.0,255.6,63.6,3.4,0.3,1.0,34.8,7.2,54.0,9.3,23.1
2015-05-09,Lunch,758.6,21.2,4.3,3.6,5.7,0.0,206.8,3266.2,419.1,88.9,2.4,40.2,60.0,10.0,10.0,2.2,19.6
2015-05-09,Snacks,7.8,0.0,0.0,0.0,0.0,0.0,0.0,11.6,29.2,1.5,0.6,0.8,0.5,29.3,17.2,0.8,1.2
2015-05-09,Dinner,285.0,19.3,4.9,0.0,0.0,0.0,112.6,640.0,156.5,6.1,0.9,0.0,23.6,0.0,0.5,0.0,8.0
2015-05-09,Breakfast,90.0,2.3,0.8,0.0,0.0,0.0,35.0,57.5,80.0,3.5,0.0,1.0,13.5,0.0,0.0,5.0,0.0
2015-05-10,Snacks,826.9,25.6,14.7,0.4,6.2,0.0,95.5,1261.5,197.9,143.3,4.7,65.1,44.7,5.6,3.3,21.8,25.0
2015-05-10,Lunch,1095.0,40.5,16.0,0.0,0.0,0.0,195.0,2410.0,0.0,124.0,19.5,8.5,60.5,36.0,34.0,60.0,45.0
2015-05-10,Breakfast,571.7,20.2,9.1,0.0,0.0,0.0,50.5,514.1,5.8,101.8,3.1,65.8,22.2,15.2,2.0,41.3,28.3
2015-05-11,Snacks,93.8,2.7,1.0,0.0,0.0,0.0,3.8,211.3,0.0,13.5,0.3,1.0,2.9,1.0,0.0,5.0,1.9
2015-05-11,Lunch,643.9,15.4,5.4,3.0,4.1,0.0,52.5,1806.7,529.6,105.7,4.6,47.5,24.2,99.9,11.0,6.6,24.6
2015-05-11,Breakfast,22.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
2015-05-12,Dinner,600.0,24.5,4.5,13.5,6.5,0.0,70.0,1020.0,290.0,70.0,4.0,3.0,24.0,0.0,6.0,4.0,10.0
2015-05-12,Breakfast,22.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
2015-05-12,Snacks,277.9,9.3,5.8,0.0,0.0,0.0,0.0,189.0,234.2,34.4,2.2,26.2,17.9,22.0,77.8,7.2,4.2
2015-05-12,Lunch,110.2,0.3,0.0,0.0,0.0,0.0,0.0,59.7,513.7,21.0,5.6,6.2,6.6,53.0,299.9,4.6,60.3
2015-05-13,Breakfast,22.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
2015-05-13,Dinner,468.3,18.2,8.6,0.6,3.2,0.1,81.2,1578.3,1448.8,44.4,2.8,12.6,30.1,38.9,32.6,39.8,39.7
2015-05-13,Lunch,1314.0,37.8,17.1,0.0,0.0,0.0,90.0,2614.0,0.0,193.8,17.3,67.0,43.8,25.0,22.0,65.0,50.8
2015-05-14,Breakfast,568.3,19.2,8.6,0.6,3.2,0.1,81.2,1728.3,1448.8,64.4,3.8,15.6,33.1,38.9,32.6,41.8,45.7
2015-05-14,Lunch,545.0,23.0,6.8,0.0,0.0,0.0,45.0,825.0,0.0,66.5,4.5,7.0,18.0,6.0,37.0,21.0,19.0
2015-05-14,Dinner,307.5,0.6,0.2,0.2,0.2,0.0,0.0,3.0,82.5,67.5,0.9,0.2,6.3,0.0,0.0,0.0,3.0
2015-05-15,Lunch,798.7,13.6,0.0,0.0,0.0,0.0,51.0,2844.0,0.0,120.2,3.9,52.2,28.0,0.0,0.0,0.0,0.0
2015-05-15,Dinner,901.3,34.4,15.5,1.4,1.7,0.0,85.0,1743.1,17.8,110.1,4.6,14.8,33.9,1.0,0.0,0.4,3.1
2015-05-15,Breakfast,125.0,3.2,0.1,0.1,0.1,0.0,0.0,1.0,27.5,31.5,0.3,3.1,8.1,0.0,0.0,0.0,1.0
2015-05-16,Dinner,863.8,45.4,20.7,0.9,2.1,0.0,141.3,1173.1,201.1,61.9,2.7,5.6,47.8,30.5,0.0,74.4,20.0
